,median_ages,right_amygdala_volume_average,right_amygdala_volume_variance,right_amygdala_volume_2_5,right_amygdala_volume_5,right_amygdala_volume_10,right_amygdala_volume_25,right_amygdala_volume_50,right_amygdala_volume_75,right_amygdala_volume_90,right_amygdala_volume_95,right_amygdala_volume_97_5
0,40.0,1808.4891624701436,187.89034984482214,1440.2308437316613,1499.437039058707,1567.697990475789,1681.759047339055,1808.4891624701436,1935.219277601232,2049.280334464498,2117.5412858815803,2176.7474812086257
1,40.25114155251141,1808.4059872742325,187.85182743152285,1440.2231710784142,1499.41722759403,1567.6641837389502,1681.7018551160672,1808.4059872742325,1935.1101194323978,2049.147790809515,2117.394746954435,2176.5888034700506
2,40.50228310502283,1808.2912531457862,187.81492942379143,1440.1807557162228,1499.363185287428,1567.5967363100776,1681.6120083156384,1808.2912531457862,1934.970497975934,2048.9857699814947,2117.219321004144,2176.4017505753495
3,40.75342465753425,1808.1449562449714,187.7796021010336,1440.1036990956836,1499.2749966615818,1567.4957131950496,1681.4895393319257,1808.1449562449714,1934.800373158017,2048.794199294893,2117.0149158283607,2176.186213394259
4,41.00456621004566,1807.967094151888,187.74579297720183,1439.9921016676594,1499.152745628457,1567.3611792375425,1681.3344811463298,1807.967094151888,1934.5997071574461,2048.573009066233,2116.7814426753184,2175.9420866361165
5,41.25570776255708,1807.7576658615365,187.7134507901754,1439.8460628990608,1498.9965155017396,1567.1931991276078,1681.1468673296265,1807.7576658615365,1934.3684643934464,2048.322132595465,2116.518816221333,2175.669268824012
6,41.50684931506849,1807.516671784928,187.68252549000255,1439.6656812970023,1498.806389017285,1566.9918374178508,1680.9267320510064,1807.516671784928,1934.1066115188494,2048.0415061520052,2116.2269545525705,2175.3676622728535
7,41.757990867579906,1807.2441137545823,187.65296822716218,1439.4510544373052,1498.582448357925,1566.7571585439714,1680.6741100914903,1807.2441137545823,1933.8141174176742,2047.7310689651931,2115.9057791512396,2175.0371730718593
8,42.009132420091326,1806.9399950198695,187.62473134037654,1439.2022789837279,1498.3247751688555,1566.4892268357248,1680.389036847492,1806.9399950198695,1933.490953192247,2047.390763204014,2115.5552148708834,2174.677711056011
9,42.26027397260274,1806.604320247511,187.59776834363913,1438.91945071389,1498.033450579474,1566.188106534047,1680.0715483400675,1806.604320247511,1933.1370921549544,2047.020533960975,2115.175189915548,2174.289189781132
10,42.51141552511415,1806.2370955242643,187.5720339133707,1438.602664547132,1497.708555227192,1565.8538618101993,1679.7216812262639,1806.2370955242643,1932.7525098222648,2046.6203292383293,2114.7656358213367,2173.8715265013966
11,42.76255707762557,1805.838328355979,187.54748387493197,1438.2520145700057,1497.3501692786742,1565.4865567821093,1679.3394728072724,1805.838328355979,1932.3371839046856,2046.1900999298487,2114.3264874332835,2173.424642141952
12,43.013698630136986,1805.40802766764,187.52407518858993,1437.8675940638225,1496.958372452967,1565.0862555323993,1678.9249610379368,1805.40802766764,1931.8910942973432,2045.7297998028807,2113.8576828823125,2172.9484612714573
13,43.2648401826484,1804.9462038027946,187.50176593582194,1437.4494955309244,1496.5332440434518,1564.6530221253647,1678.4781845354178,1804.9462038027946,1931.4142230701714,2045.2393854802244,2113.3591635621374,2172.4429120746645
14,43.51598173515982,1804.452868522074,187.48051530448348,1436.9978107222757,1496.074862940763,1564.1869206245046,1677.9991825877203,1804.452868522074,1930.9065544564276,2044.7188164196432,2112.8308741033843,2171.907926321872
15,43.76712328767123,1803.9280350066788,187.460283574408,1436.5126306691736,1495.5833076599622,1563.6880151144615,1677.4879951668897,1803.9280350066788,1930.3680748464678,2044.1680548988961,2112.272762353395,2171.343439344184
16,44.018264840182646,1803.371717852713,187.44103210220223,1435.9940457073803,1495.0586563598781,1563.15636971484,1676.9446629336028,1803.371717852713,1929.798772771823,2043.5870659905859,2111.6847793455477,2170.7493899980454
17,44.269406392694066,1802.7839330766478,187.42272330628876,1435.442145511906,1494.5009868731763,1562.592048604841,1676.3692272527198,1802.7839330766478,1929.1986389005758,2042.9758175484546,2111.066879280119,2170.1257206413898
18,44.52054794520548,1802.1646981097385,187.40532065118086,1434.8570191222436,1493.91037672664,1561.9951160378298,1675.7617301983069,1802.1646981097385,1928.5676660211702,2042.3342801816473,2110.419019492837,2169.472377097233
19,44.77168949771689,1801.5140318000335,187.38878863198687,1434.2387549747505,1493.2869031686669,1561.3656363632044,1675.1222145660984,1801.5140318000335,1927.9058490339687,2041.6624272368626,2109.7411604313997,2168.7893086253166
20,45.02283105022831,1800.8319544090477,187.37309275846027,1433.5874409305827,1492.6306431921796,1560.7036740435094,1674.4507238809267,1800.8319544090477,1927.2131849371688,2040.960234774586,2109.0332656259156,2168.0764678875125
21,45.273972602739725,1800.1184876147502,187.35819953905175,1432.9031643099397,1491.941673563843,1560.0092936778608,1673.7473024104675,1800.1184876147502,1926.4896728190329,2040.2276815516395,2108.295301665657,2167.3338109195606
22,45.52511415525114,1799.3736545073782,187.3440764646104,1432.1860119198238,1491.2200708466899,1559.2825600186495,1673.0119951720476,1799.3736545073782,1925.7353138427088,2039.464748996107,2107.5272381680666,2166.5612970949323
23,45.77625570776256,1798.597479587772,187.33069199210692,1431.4360700842765,1490.4659114252258,1558.5235379907342,1672.2448479419568,1798.597479587772,1924.9501112335874,2038.67142118481,2106.7290477503184,2165.7588890912675
24,46.02739726027397,1797.7899887708238,187.31801552802511,1430.6534246803799,1489.6792715361994,1557.7322927161754,1671.4459072701004,1797.7899887708238,1924.1340702715472,2037.8476848254722,2105.9007060054482,2164.9265528612677
