,median_ages,right_amygdala_volume_average,right_amygdala_volume_variance,right_amygdala_volume_2_5,right_amygdala_volume_5,right_amygdala_volume_10,right_amygdala_volume_25,right_amygdala_volume_50,right_amygdala_volume_75,right_amygdala_volume_90,right_amygdala_volume_95,right_amygdala_volume_97_5
0,40.0,1681.3091177561575,187.26997893329184,1314.266703661331,1373.2774136886064,1441.312983074693,1554.997436446216,1681.3091177561575,1807.6207990660992,1921.3052524376221,1989.3408218237084,2048.3515318509844
1,40.25114155251141,1682.4104992871569,187.15734901165163,1315.5888357823264,1374.564054954719,1442.5587056580976,1556.174785704927,1682.4104992871569,1808.6462128693868,1922.2622929162162,1990.2569436195945,2049.2321627919873
2,40.50228310502283,1683.469517905453,187.04924377508948,1316.8597367708246,1375.8008908634667,1443.7562667115535,1557.3067201972267,1683.469517905453,1809.632315613679,1923.1827690993523,1991.1381449474388,2050.0792990400814
3,40.75342465753425,1684.4861515941773,186.94552730614353,1318.0796510032867,1376.9881229623115,1444.9058184034282,1558.3933095811817,1684.4861515941773,1810.5789936071728,1924.0664847849264,1991.984180226043,2050.892652185068
4,41.00456621004566,1685.4603816115432,186.8460660560729,1319.2488214886484,1378.1259521775971,1446.007513141533,1559.434625192262,1685.4603816115432,1811.4861380308243,1924.9132500815533,1992.794811045489,2051.671941734438
5,41.25570776255708,1686.3921924920985,186.75072886481337,1320.3674898304596,1379.214578782979,1447.0615035488017,1560.4307400311343,1686.3921924920985,1812.3536449530627,1925.7228814353953,1993.5698062012177,2052.4168951537376
6,41.50684931506849,1687.2815720459157,186.65938697801172,1321.4358961926878,1380.2542023705946,1448.0679424406494,1561.3817287513627,1687.2815720459157,1813.1814153404687,1926.495201651182,1994.3089417212368,2053.1272478991436
7,41.757990867579906,1688.1285113599238,186.57191406148215,1322.4542792727166,1381.2450218286162,1449.0269828077787,1562.2876676509898,1688.1285113599238,1813.9693550688578,1927.2300399120688,1995.012000891231,2053.802743447131
8,42.009132420091326,1688.933004796263,186.48818621285645,1323.4228762768653,1382.1872353204444,1449.938777799604,1563.1486346630331,1688.933004796263,1814.717374929493,1927.9272317929222,1995.6787742720815,2054.443133315661
9,42.26027397260274,1689.6950499904142,186.40808197074554,1324.3419229005626,1383.081040267766,1450.803480710639,1563.9647093474352,1689.6950499904142,1815.4253906333931,1928.5866192701894,1996.3090597130622,2055.0481770802658
10,42.51141552511415,1690.4146478518867,186.33148232131816,1325.211653316141,1383.9266333404223,1451.6212449727554,1564.7359728873153,1690.4146478518867,1816.093322816458,1929.208050731018,1996.902662363351,2055.6176423876323
11,42.76255707762557,1691.0918025604267,186.25827070246194,1326.0323001608892,1384.7242104457728,1452.3922241460566,1565.462508082369,1691.0918025604267,1816.7210970384845,1929.7913809747968,1997.4593946750804,2056.151304959964
12,43.013698630136986,1691.7265215647744,186.1883330055314,1326.8040945323826,1385.4739667245774,1453.1165719153962,1566.1443993464486,1691.7265215647744,1817.3086437831003,1930.3364712141527,1997.9790764049712,2056.648948597166
13,43.2648401826484,1692.3188155790265,186.12155757485615,1327.5272659858101,1386.176096548167,1453.79444208737,1566.7817327042562,1692.3188155790265,1817.8558984537967,1930.843189070683,1998.4615346098858,2057.1103651722424
14,43.51598173515982,1692.8686985814638,186.05783520491957,1328.2020425383328,1386.8307935219125,1454.42598859276,1567.374595792074,1692.8686985814638,1818.3628013708537,1931.3114085701677,1998.9066036410152,2057.5353546245947
15,43.76712328767123,1693.3761878081643,185.9970591354357,1328.8286506723437,1387.4382504869354,1455.0113654864551,1567.9230778546985,1693.3761878081643,1818.8292977616302,1931.7410101298735,1999.3141251293932,2057.923724943985
16,44.018264840182646,1693.8413037520459,185.9391250444129,1329.407315348107,1387.99865953056,1455.5507269553852,1568.4272697491617,1693.8413037520459,1819.25533775493,1932.1318805487065,1999.6839479735318,2058.2752921559845
17,44.269406392694066,1694.2640701572138,185.88393103903377,1329.9382600159806,1388.5122119956618,1456.0442273245555,1568.8872639452302,1694.2640701572138,1819.6408763691975,1932.4839129898721,2000.0159283187659,2058.589880298447
18,44.52054794520548,1694.6445140136786,185.8313776447848,1330.4217066324386,1388.9790984932656,1456.4920210656949,1569.3031545274541,1694.6445140136786,1819.9858734999032,1932.7970069616624,2000.3099295340917,2058.8673213949187
19,44.77168949771689,1694.982665553563,185.78136779259174,1330.8578756814936,1389.399508919913,1456.8942628099499,1569.6750372000515,1694.982665553563,1820.2902939070746,1933.0710682971762,2000.565822187213,2059.1074554256325
20,45.02283105022831,1695.2785582449376,185.73380680427567,1331.2469861970367,1389.7736324754205,1457.2511073603598,1570.0030092905545,1695.2785582449376,1820.5541071993207,1933.3060091295154,2000.7834840144544,2059.3101302928385
21,45.273972602739725,1695.5322287864658,185.68860237625856,1331.5892557894203,1390.1016576843272,1457.562709707383,1570.2871697554435,1695.5322287864658,1820.777287817488,1933.5017478655486,2000.9627998886044,2059.4752017835112
22,45.52511415525114,1695.7437170997434,185.64566456157755,1331.8849006730475,1390.383772417816,1457.829225044286,1570.5276191846194,1695.7437170997434,1820.9598150148674,1933.658209155201,2001.1036617816708,2059.6025335264394
23,45.77625570776256,1695.9130663248877,185.60490575045893,1332.134135700037,1390.620163921259,1458.0508087876292,1570.7244598100933,1695.9130663248877,1821.1016728396821,1933.7753238621463,2001.2059687285164,2059.6919969497385
24,46.02739726027397,1696.0403228118364,185.5662406493143,1332.3371743926878,1390.811018840062,1458.2276165954815,1570.8777955114545,1696.0403228118364,1821.2028501122184,1933.8530290281913,2001.2696267836109,2059.743471230985
