,median_ages,left_amygdala_volume_average,left_amygdala_volume_variance,left_amygdala_volume_2_5,left_amygdala_volume_5,left_amygdala_volume_10,left_amygdala_volume_25,left_amygdala_volume_50,left_amygdala_volume_75,left_amygdala_volume_90,left_amygdala_volume_95,left_amygdala_volume_97_5
0,40.0,1786.4875150695632,161.89291125015768,1469.1832396669147,1520.1973728220084,1579.0134012063506,1677.292405801928,1786.4875150695632,1895.6826243371984,1993.9616289327757,2052.7776573171177,2103.7917904722117
1,40.25114155251141,1786.8797756087552,161.8279857865571,1469.7027517764434,1520.6964262454853,1579.4888670750636,1677.7284579008451,1786.8797756087552,1896.0310933166652,1994.2706841424467,2053.063124972025,2104.0567994410667
2,40.50228310502283,1787.2471230993162,161.7653336877983,1470.1928951241275,1521.166827267926,1579.9365064608737,1678.1380635898474,1787.2471230993162,1896.356182608785,1994.5577397377588,2053.3274189307062,2104.301351074505
3,40.75342465753425,1787.5895210535577,161.70489774877055,1470.6537453422352,1521.6086334956753,1580.3563561873914,1678.5212249655065,1787.5895210535577,1896.657817141609,1994.822685919724,2053.57040861144,2104.5252967648803
4,41.00456621004566,1787.906933815011,161.6466216200831,1471.0853772170744,1522.0219019587648,1580.7484528127977,1678.8779443784406,1787.906933815011,1896.9359232515812,1995.065414817224,2053.791965671257,2104.7284904129474
5,41.25570776255708,1788.1993265565782,161.59044980810953,1471.4878646870561,1522.4066891089892,1581.1128326279393,1679.2082244314338,1788.1993265565782,1897.1904286817226,1995.285820485217,2053.991964004167,2104.9107884261
6,41.50684931506849,1788.466665288151,161.53632767476103,1471.8612808507585,1522.7630508278987,1581.4495316642356,1679.512067987209,1788.466665288151,1897.421262589093,1995.4837989120665,2054.170279748403,2105.0720497255434
7,41.757990867579906,1788.7089168525376,161.48420143667556,1472.2056979644422,1523.0910424240597,1581.7585856906464,1679.7894781649006,1788.7089168525376,1897.6283555401747,1995.6592480144288,2054.3267912810156,2105.212135740633
8,42.009132420091326,1788.9260489360909,161.43401816403076,1472.5211874550055,1523.390718645635,1582.0400302258217,1680.040458351484,1788.9260489360909,1897.8116395206978,1995.81206764636,2054.461379226547,2105.330910417176
9,42.26027397260274,1789.11803006449,161.38572577909488,1472.8078199186066,1523.6621336785502,1582.2939005357393,1680.265012198535,1789.11803006449,1897.9710479304451,1995.9421595932408,2054.57392645043,2105.4282402103736
10,42.51141552511415,1789.2848296057987,161.3392730541854,1473.0656651277216,1523.9053411529078,1582.5202316393795,1680.4631436266636,1789.2848296057987,1898.1065155849337,1996.0494275722178,2054.6643180586893,2105.5039940838756
11,42.76255707762557,1789.4264177773114,161.29460960935492,1473.2947920425277,1524.120394153642,1582.7190583185375,1680.634856833923,1789.4264177773114,1898.2179787206996,1996.1337772360853,2054.7324414009804,2105.558043512095
12,43.013698630136986,1789.5427656431666,161.25168590984168,1473.495268813512,1524.3073452223239,1582.8904151187028,1680.7801562951404,1789.5427656431666,1898.3053749911928,1996.1951161676304,2054.7781860640093,2105.5902624728215
13,43.2648401826484,1789.6338451180295,161.2104532629666,1473.6671627912374,1524.4662463659479,1583.03433635672,1680.899046767694,1789.6338451180295,1898.368643468365,1996.2333538793391,2054.801443870111,2105.6005274448216
14,43.51598173515982,1789.6996289698727,161.17086381482238,1473.810540535611,1524.5971490651602,1583.1508561278115,1680.9915332965265,1789.6996289698727,1898.407724643219,1996.248401811934,2054.802108874585,2105.5887174041345
15,43.76712328767123,1789.7400908217144,161.13287054655916,1473.9254678249035,1524.7001042821043,1583.240008312076,1681.057621218388,1789.7400908217144,1898.4225604250407,1996.2401733313527,2054.7800773613244,2105.554713818525
16,44.018264840182646,1789.7552051530672,161.0964272706076,1474.0120096646,1524.775162468084,1583.3018265807782,1681.097316165834,1789.7552051530672,1898.4130941403005,1996.2085837253562,2054.7352478380503,2105.4984006415343
17,44.269406392694066,1789.7449473016516,161.0614886262294,1474.0702302978343,1524.8223735725946,1583.3363444037634,1681.110624071937,1789.7449473016516,1898.379270531366,1996.1535501995397,2054.6675210307085,2105.419664305469
18,44.52054794520548,1789.7092934700413,161.0280100751631,1474.1001932205686,1524.841787057131,1583.3435950616843,1681.0975511798724,1789.7092934700413,1898.3210357602102,1996.0749918783984,2054.5767998829515,2105.318393719514
19,44.77168949771689,1789.648220719184,160.99594789676692,1474.1019611846339,1524.8334518966967,1583.3236116457456,1681.0581040397124,1789.648220719184,1898.2383373986559,1995.9728297926226,2054.4629895416715,2105.1944802537346
20,45.02283105022831,1789.5617069781385,160.96525918299852,1474.0755962173062,1524.7974165977996,1583.2764270738744,1680.9922895215502,1789.5617069781385,1898.1311244347269,1995.8469868824027,2054.3259973584773,2105.047817738971
21,45.273972602739725,1789.449731040407,160.9359018332168,1474.0211596278282,1524.7337292033342,1583.202074093716,1680.9001148153395,1789.449731040407,1897.9993472654744,1995.697387987098,2054.1657328774795,2104.8783024529857
22,45.52511415525114,1789.3122725701517,160.907834548618,1473.9387120245306,1524.6424373079499,1583.1005852959788,1680.7815874408618,1789.3122725701517,1897.8429576994415,1995.5239598443245,2053.9821078323534,2104.6858331157728
23,45.77625570776256,1789.1493121014212,160.88101682655036,1473.8283133252,1524.523588066629,1582.9719931209484,1680.6367152507896,1789.1493121014212,1897.6619089520527,1995.326631081894,2053.775036136213,2104.470310877642
24,46.02739726027397,1788.9608310392332,160.85540895470777,1473.6900227695442,1524.3772282053196,1582.8163298670106,1680.465506435684,1788.9608310392332,1897.4561556427825,1995.1053322114558,2053.5444338731468,2104.2316393089222
