,median_ages,left_amygdala_volume_average,left_amygdala_volume_variance,left_amygdala_volume_2_5,left_amygdala_volume_5,left_amygdala_volume_10,left_amygdala_volume_25,left_amygdala_volume_50,left_amygdala_volume_75,left_amygdala_volume_90,left_amygdala_volume_95,left_amygdala_volume_97_5
0,40.0,2024.0945343682793,182.87957693023455,1665.6571500770974,1723.284398959232,1789.724926247203,1900.7441342086402,2024.0945343682793,2147.444934527918,2258.4641424893557,2324.9046697773265,2382.531918659461
1,40.25114155251141,2024.387573753566,182.81753196099345,1666.0717953675185,1723.679493237209,1790.0974794599547,1901.0790222897313,2024.387573753566,2147.6961252174005,2258.677668047177,2325.0956542699228,2382.7033521396133
2,40.50228310502283,2024.651778676952,182.7575883607964,1666.4534875883944,1724.0422966087917,1790.4385051980178,1901.3836585570402,2024.651778676952,2147.919898796864,2258.865052155886,2325.261260745112,2382.8500697655095
3,40.75342465753425,2024.8871066626668,182.69969625525948,1666.8022820159508,1724.372848634271,1790.748024902216,1901.6580341745569,2024.8871066626668,2148.1161791507766,2259.0261884231177,2325.4013646910626,2382.971931309383
4,41.00456621004566,2025.0935163161012,182.64380641297748,1667.1182337473595,1724.6711888974924,1791.026060270525,1901.9021409537504,2025.0935163161012,2148.284891678452,2259.1609723616775,2325.51584373471,2383.0687988848426
5,41.25570776255708,2025.2709673263723,182.58987024854358,1667.4013976973854,1724.9373570034566,1791.2726332567659,1902.1159713540972,2025.2709673263723,2148.4259632986473,2259.269301395979,2325.604577649288,2383.1405369553595
6,41.50684931506849,2025.4194204704902,182.5378398250283,1667.6518285976936,1725.1713925784054,1791.4877660715956,1902.2995184855745,2025.4194204704902,2148.539322455406,2259.351074869385,2325.6674483625748,2383.187012343287
7,41.757990867579906,2025.538837616596,182.48766785619932,1667.8695809957376,1725.373335269411,1791.6714811829008,1902.4527761104027,2025.538837616596,2148.6248991227894,2259.4061940502916,2325.704339963781,2383.2080942374546
8,42.009132420091326,2025.6291817292397,182.4393077084015,1668.054709256352,1725.5432247465596,1791.8238013186647,1902.5757386470539,2025.6291817292397,2148.6826248114253,2259.4345621398147,2325.7151387119197,2383.2036542021274
9,42.26027397260274,2025.6904168713816,182.39271340202103,1668.2072675608842,1725.6811007025467,1791.944749467094,1902.6684011712669,2025.6904168713816,2148.7124325714963,2259.436084275669,2325.6997330402164,2383.173566181879
10,42.51141552511415,2025.7225082093528,182.34783961269846,1668.3273099097776,1725.7870028556404,1792.0343488800233,1902.7307594201886,2025.7225082093528,2148.714256998517,2259.410667538682,2325.658013563065,2383.1177065089278
11,42.76255707762557,2025.7254220159937,182.3046416722414,1668.4148901239205,1725.860970951319,1792.0926230748853,1902.7628097948973,2025.7254220159937,2148.68803423709,2259.358220957102,2325.5898730806684,2383.035953908067
12,43.013698630136986,2025.6991256739902,182.26307556913295,1668.4700618469874,1725.9030447647715,1792.1195958373942,1902.764549363396,2025.6991256739902,2148.633701984584,2259.2786555105863,2325.495206583209,2382.928189500993
13,43.2648401826484,2025.6435876798464,182.2230979488126,1668.4928785488592,1725.9132641044084,1792.1152912251587,1902.7359758643956,2025.6435876798464,2148.551199495297,2259.171884134534,2325.3739112552844,2382.7942968108337
14,43.51598173515982,2025.5587776464797,182.18466611365915,1668.483393528253,1725.8916688144843,1792.0797335702996,1902.6770877099211,2025.5587776464797,2148.4404675830383,2259.03782172266,2325.225886478475,2382.6341617647063
15,43.76712328767123,2025.4446663084648,182.147738022675,1668.4416599185847,1725.8382987808611,1792.0129474850978,1902.5878839907693,2025.4446663084648,2148.30144862616,2258.8763851318317,2325.051033836068,2382.447672698345
16,44.018264840182646,2025.3012255218525,182.11227229091298,1668.3677306889113,1725.75319393177,1791.9149578625484,1902.4683644767138,2025.3012255218525,2148.1340865669913,2258.6874931811567,2324.849257111935,2382.234720354794
17,44.269406392694066,2025.1284282714964,182.0782281886261,1668.2616586529234,1725.6363942465368,1791.7857898847756,1902.3185296244048,2025.1284282714964,2147.9383269185882,2258.4710666582173,2324.620462296456,2381.995197890069
18,44.52054794520548,2024.9262486707619,182.04556564017219,1668.123496470802,1725.4879397570921,1791.625469024147,1902.1383805778178,2024.9262486707619,2147.714116763706,2258.227028317377,2324.364557584431,2381.729000870722
19,44.77168949771689,2024.6946619673101,182.01424522266657,1667.953296657642,1725.3078705559722,1791.434021050783,1901.9279191749454,2024.6946619673101,2147.4614047596747,2257.9553028838372,2324.081453378648,2381.436027276978
20,45.02283105022831,2024.4336445435301,181.98422816440808,1667.7511115869704,1725.096226799339,1791.2114720350073,1901.6871479492918,2024.4336445435301,2147.1801411377683,2257.655817052053,2323.771062287721,2381.1161775000896
21,45.273972602739725,2024.1431739223174,181.95547634308517,1667.5169935000406,1724.8530487157109,1790.957848355423,1901.4160701368608,2024.1431739223174,2146.8702777077738,2257.3284994892115,2323.433299128924,2380.769354344594
22,45.52511415525114,2023.8232287669578,181.9279522837495,1667.2509945096872,1724.578376609178,1790.6731767013953,1901.114689677407,2023.8232287669578,2146.531767856509,2256.9732808325202,2323.0680809247374,2380.3954630242283
23,45.77625570776256,2023.4737888860445,181.90161915656432,1666.9531666096573,1724.2722508680242,1790.357484080852,1900.7830112208708,2023.4737888860445,2146.1645665512183,2256.590093691237,2322.6753269040646,2379.994411162432
24,46.02739726027397,2023.0948352364119,181.87644077441266,1666.623561682231,1723.9347119715944,1790.0107978262836,1900.4210401319258,2023.0948352364119,2145.7686303408977,2256.17887264654,2322.2549585012293,2379.566108790593
